,OPERATIONAL_DAY,TRAIN_NUMBER,OPERATION_TRAIN_NUMBER,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,COMMERCIAL_LINE_NUMBER_DESIGNATION,TRAIN_GROUP_TRAIN_CATEGORY_ABBREVIATION,TRAIN_GROUP_ROUTE,OPERATING_POINT_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,OPERATIONAL_PUNCTUAL,DAILY_PLAN_OPERATIONAL_DELAY_SEC,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_DAY_PERIOD_IDENTIFIER_FINE,OPERATION_TRAIN_RUN_SEQUENCE_NUMBER,PLAN_FORMATION_MAXIMAL_VELOCITY
44,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,ZUE,departure,True,commercialStop,2025-01-01 18:59:42.000 +0100,2025-01-01 19:05:57.000 +0100,0,375.0,HVZ,HVZA,1.0,200
45,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,SCOO,arrival,False,pass,,,0,,,,,200
46,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,DU,arrival,False,pass,,,0,,,,,200
47,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,MAEG,arrival,True,pass,2025-01-01 19:15:00.000 +0100,2025-01-01 19:21:17.000 +0100,0,377.0,NVZ,ABEND,14.0,200
48,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BSNO,arrival,True,pass,2025-01-01 19:50:12.000 +0100,2025-01-01 19:57:56.000 +0100,0,464.0,NVZ,ABEND,45.0,200
49,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,DK,arrival,False,pass,,,0,,,,,200
50,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,OLO,arrival,False,pass,,,0,,,,,200
51,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,MUOS,arrival,True,pass,2025-01-01 19:47:06.000 +0100,2025-01-01 19:55:47.000 +0100,0,521.0,NVZ,ABEND,42.0,200
52,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,DT,departure,True,pass,2025-01-01 19:07:36.000 +0100,2025-01-01 19:13:30.000 +0100,0,354.0,NVZ,ABEND,8.0,200
53,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,SIS,arrival,False,pass,,,0,,,,,200
54,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,KLW,arrival,True,pass,2025-01-01 19:10:00.000 +0100,2025-01-01 19:16:10.000 +0100,0,370.0,NVZ,ABEND,10.0,200
