TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
15322,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:24:00,2025-01-01 05:24:00,2025-01-01 05:24:00.000000,0.0,-3.0,0.575,3.2,7.2,0.0,,,
6907,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:25:00,2025-01-01 05:24:00,2025-01-01 05:25:00.000000,0.0,-57.0,0.575,3.2,7.2,0.0,,,
3208,IR66,NE,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:27:00,2025-01-01 05:27:00,2025-01-01 05:27:00.000000,0.0,19.0,0.575,3.2,7.2,0.0,,,
3208,IR66,NE,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:29:00,2025-01-01 05:29:00,2025-01-01 05:29:05.222284,5.222283815066476,-49.0,0.575,3.2,7.2,0.0,,,total_delay=5s
3209,IR66,NE,FV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:30:00,2025-01-01 05:29:00,2025-01-01 05:30:00.000000,0.0,-16.0,0.575,3.2,7.2,0.0,,,
3209,IR66,NE,FV,departure,True,commercialStop,160,HVZ,2025-01-01 05:32:00,2025-01-01 05:32:00,2025-01-01 05:32:00.503360,0.5033597966466914,-11.0,0.575,3.2,7.2,0.0,,,
15321,S3,BI,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:35:00,2025-01-01 05:35:00,2025-01-01 05:35:00.000000,0.0,56.0,0.575,3.2,7.2,0.0,,,
6015,R13,NE,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:36:00,2025-01-01 05:36:00,2025-01-01 05:36:00.000000,0.0,16.0,0.575,3.2,7.2,0.0,,,
6908,R23,NE,RV,departure,True,commercialStop,160,HVZ,2025-01-01 05:36:00,2025-01-01 05:36:00,2025-01-01 05:36:34.000000,34.0,34.0,0.575,3.2,7.2,0.0,,,total_delay=34s
7656,S20,BI,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:38:00,2025-01-01 05:39:00,2025-01-01 05:38:00.000000,0.0,74.0,0.575,3.2,7.2,0.0,,,
